Name,Type,Episode,Aired,Premiered,Producers,Studios,Source,Genre,Demographic,Theme,Duration,Rating,Score,Ranking,Popularity,Members
Hajime no Ippo: New Challenger,TV,empty,"Jan 7, 2009 to Jul 1, 2009",Winter 2009,"VAP,       Kodansha,       Nippon Television Network",Madhouse,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.66,806,"236,629","1,539"
Howl no Ugoku Shiro,Movie,empty,"Nov 20, 2004",empty,"d-rights,       Tokuma Shoten",Studio Ghibli,Novel,empty,empty,empty,1 hr. 59 min.,8.66,97,"1,095,071","22,413"
Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,empty,"Mar 8, 2021",empty,KlockWorx,Khara,Original,empty,empty,empty,2 hr. 35 min.,8.65,684,"277,366","5,119"
Haikyuu!! Second Season,TV,empty,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,"Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Production I.G,Manga,empty,ShounenShounen,SchoolSchool,24 min. per ep.,8.65,83,"1,205,889","14,818"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,empty,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,"Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications",A-1 Pictures,Manga,empty,SeinenSeinen,empty,24 min. per ep.,8.65,110,"1,019,749","18,330"
Natsume Yuujinchou Shi,TV,empty,"Jan 3, 2012 to Mar 27, 2012",Winter 2012,"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Sony Music Entertainment",Brain's Base,Manga,empty,ShoujoShoujo,DemonsDemons,24 min. per ep.,8.65,869,"219,413","1,850"
Tengen Toppa Gurren Lagann,TV,empty,"Apr 1, 2007 to Sep 30, 2007",Spring 2007,"TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai",Gainax,Original,empty,empty,MechaMecha,24 min. per ep.,8.64,57,"1,417,373","70,734"
Natsume Yuujinchou Roku,TV,empty,"Apr 12, 2017 to Jun 21, 2017",Spring 2017,"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha",Shuka,Manga,empty,ShoujoShoujo,DemonsDemons,23 min. per ep.,8.63,1173,"161,034",973
One Piece,TV,empty,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV,       TAP,       Shueisha",Toei Animation,Manga,empty,ShounenShounen,Super PowerSuper Power,24 min.,8.63,26,"1,812,554","157,116"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,empty,"Jun 15, 2019",empty,"Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa",CloverWorks,Light novel,empty,empty,SchoolSchool,1 hr. 30 min.,8.63,302,"562,328","8,786"
Death Note,TV,empty,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,"VAP,       Konami,       Ashi Production,       Nippon Television Network,       Shueisha",Madhouse,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.63,2,"3,324,719","151,681"
Ping Pong the Animation,TV,empty,"Apr 11, 2014 to Jun 20, 2014",Spring 2014,"Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings,       Science SARU",Tatsunoko Production,Manga,empty,SeinenSeinen,PsychologicalPsychological,23 min. per ep.,8.62,543,"333,849","13,576"
Shingeki no Kyojin Season 3,TV,empty,"Jul 23, 2018 to Oct 15, 2018",Summer 2018,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise",Wit Studio,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.62,23,"1,886,148","17,944"
Suzumiya Haruhi no Shoushitsu,Movie,empty,"Feb 6, 2010",empty,"Kadokawa Shoten,       Animation Do",Kyoto Animation,Light novel,empty,empty,SchoolSchool,2 hr. 41 min.,8.62,310,"551,988","12,394"
Mushishi Zoku Shou: Suzu no Shizuku,Movie,empty,"May 16, 2015",empty,"Aniplex,       Kodansha,       Delfi Sound",Artland,Manga,empty,SeinenSeinen,HistoricalHistorical,47 min.,8.60,1538,"112,660",192
Ookami Kodomo no Ame to Yuki,Movie,empty,"Jul 21, 2012",empty,"Madhouse,       VAP,       Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       Toho,       Hiroshima Television",Studio Chizu,Original,empty,empty,empty,1 hr. 57 min.,8.60,201,"721,757","10,411"
Shouwa Genroku Rakugo Shinjuu,TV,empty,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,"Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production",Studio Deen,Manga,DramaDrama,JoseiJosei,HistoricalHistorical,26 min. per ep.,8.59,731,"260,910","5,418"
Kizumonogatari II: Nekketsu-hen,Movie,empty,"Aug 19, 2016",empty,"Aniplex,       Kodansha",Shaft,Light novel,empty,empty,VampireVampire,1 hr. 4 min.,8.59,465,"382,861","2,108"
Hajime no Ippo: Rising,TV,empty,"Oct 6, 2013 to Mar 29, 2014",Fall 2013,"VAP,       Kodansha,       Nippon Television Network","Madhouse,       MAPPA",Manga,empty,ShounenShounen,empty,22 min. per ep.,8.58,907,"210,047","1,026"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,empty,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,"Warner Bros. Japan,       KlockWorx,       Medicos Entertainment,       Shueisha",David Production,Manga,empty,ShounenShounen,empty,23 min. per ep.,8.58,162,"805,274","26,121"
Natsume Yuujinchou Go,TV,empty,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha",Shuka,Manga,empty,ShoujoShoujo,DemonsDemons,23 min. per ep.,8.58,1182,"160,350",725
Natsume Yuujinchou San,TV,empty,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,"Aniplex,       Sakura Create",Brain's Base,Manga,empty,ShoujoShoujo,DemonsDemons,24 min. per ep.,8.58,837,"226,598","1,307"
